Категория;URL категории;Подкатегория;URL подкатегории
"Делопроизводство";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=108";"";""
"Архивы";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=127";"";""
"Общий менеджмент";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=30";"";""
"Специальный менеджмент";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=133";"";""
"Управление административно-хозяйственной деятельностью";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=132";"";""
"Спортивный менеджмент";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=48";"";""
"Маркетинг. Продажи";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=124";"";""
"Реклама. PR";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=134";"";""
"Налогообложение";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=99";"";""
"Бухгалтерский учет";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=4";"Бухгалтерский учет в коммерческих организациях";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?column=131"
"Бухгалтерский учет";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=4";"Бюджетный учет";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?column=68"
"Бухгалтерский учет";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=4";"Отраслевой учет";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?column=101"
"Финансовый менеджмент. Экономика";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=2";"";""
"Оплата труда и мотивация";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=3";"";""
"Нормирование труда";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=109";"";""
"Корпоративное право";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=104";"";""
"Гражданское и процессуальное право";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=96";"";""
"Другие отрасли права";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=98";"";""
"Право по виду деятельности";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=97";"";""
"Договорная работа";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=95";"";""
"Внешнеэкономическая деятельность";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=6";"";""
"Управление ИТ-инфраструктурой";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=26";"";""
"Программное обеспечение";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=137";"";""
"Кибербезопасность и защита данных";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=156";"";""
"Проектирование и строительство объектов связи";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=27";"";""
"Организация деятельности учреждений и органов власти";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=57";"";""
"Бюджетное финансирование";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=58";"";""
"Некоммерческие организации";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=9";"";""
"Организация работы органов социальной защиты населения";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=83";"";""
"Технологии социального обслуживания";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=82";"";""
"Организация здравоохранения";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=79";"";""
"Право в здравоохранении";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=80";"";""
"Экономика и финансы в здравоохранении";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=81";"";""
"Высшее образование";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=16";"";""
"Среднее профессиональное образование";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=63";"";""
"Дополнительное профессиональное образование";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=122";"";""
"Управление в сфере культуры";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=123";"";""
"Театры. ДК";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=76";"";""
"Музеи. Библиотеки";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=75";"";""
"Организация культурно-досуговых мероприятий";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=102";"";""
"Технологии: звук, свет, сцена";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=78";"";""
"СМИ, редакция";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=19";"";""
"Дизайн";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=135";"";""
"Переводы";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=17";"";""
"Пищевое производство";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=120";"";""
"Сельское хозяйство";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=168";"";""
"Гостиницы";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=47";"";""
"Общепит";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=46";"";""
"ХАССП и контроль качества";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=136";"";""
