SKU%Parent%Name%Short description%Description%Sale price%Regular price%Images%Categories%Attribute 1 name%Attribute 1 value(s)%Attribute 1 default%Attribute 1 global%Attribute 2 name%Attribute 2 value(s)%Attribute 2 default%Attribute 2 global%Type%Stock
572714532941%159834839041%%%%%15 900.00%%%Размер%L%%1%Цвет%серый%%1%variation%0
866701164831%159834839041%%%%%15 900.00%%%Размер%XL%%1%Цвет%серый%%1%variation%0
899006095051%%Полукомбинезон Snow "Хаки"%softshell%<strong>Полукомбинезон Snow </strong><br /><strong>Версия 3.0</strong><br /><br /><strong>Ткань: </strong>Softshell 10К/5К<br /><strong>Детали:</strong><br /><ul><li>утепленный подкладом</li><li>утепленные синтепоном ягодицы и колени</li><li>водонепроницаемые молнии на вентиляции</li><li>утяжки ширины талии на липучках</li><li>3 утепленных кармана (на груди и побокам)</li><li>&nbsp;«юбка» на штанинах</li></ul>%%%https://static.tildacdn.com/stor6563-3730-4366-b665-623031643036/79909873.jpg,https://static.tildacdn.com/stor3134-6332-4166-b035-613136303233/55232332.jpg,https://static.tildacdn.com/stor6239-3833-4330-b636-343036323235/27936276.jpg,https://static.tildacdn.com/stor3935-6238-4365-b434-396638393861/23535219.jpg,https://static.tildacdn.com/stor3234-3663-4434-a633-313333626664/12597373.jpg,https://static.tildacdn.com/stor6466-3662-4263-a130-623561363865/48090647.jpg%polukombinezony%Размер%XS,S,M,L,XL%XS%Цвет%Хаки%Хаки%variable%
636210709671%899006095051%%%%%15 900.00%%%Размер%XS%%1%Цвет%Хаки%%1%variation%0
658205952011%899006095051%%%%%15 900.00%%%Размер%S%%1%Цвет%Хаки%%1%variation%0
644820112851%899006095051%%%%%15 900.00%%%Размер%M%%1%Цвет%Хаки%%1%variation%0
910697127351%899006095051%%%%%15 900.00%%%Размер%L%%1%Цвет%Хаки%%1%variation%0
952243595161%899006095051%%%%%15 900.00%%%Размер%XL%%1%Цвет%Хаки%%1%variation%0
921169337561%%Полукомбинезон Snow "Песок"%softshell%<strong>Полукомбинезон Snow </strong><br /><strong>Версия 3.0</strong><br /><br /><strong>Ткань: </strong>Softshell 10К/5К<br /><strong>Детали:</strong><br /><ul><li>утепленный подкладом</li><li>утепленные синтепоном ягодицы и колени</li><li>водонепроницаемые молнии на вентиляции</li><li>утяжки ширины талии на липучках</li><li>3 утепленных кармана (на груди и побокам)</li><li>&nbsp;«юбка» на штанинах</li></ul>%%%https://static.tildacdn.com/stor3039-3963-4462-b233-313533656662/66355255.jpg,https://static.tildacdn.com/stor6530-6631-4337-b130-393332333938/52017768.jpg,https://static.tildacdn.com/stor3336-3039-4332-a639-613038616565/54258051.jpg,https://static.tildacdn.com/stor3532-6131-4038-a565-346632626434/47234807.jpg,https://static.tildacdn.com/stor3935-6366-4434-b563-336234613634/42720535.jpg,https://static.tildacdn.com/stor3538-6233-4937-b662-383930373532/87321253.jpg,https://static.tildacdn.com/stor3233-3964-4066-b238-383033373964/31075333.jpg,https://static.tildacdn.com/stor3838-3030-4162-b336-663034636463/37065992.jpg,https://static.tildacdn.com/stor3162-6463-4632-b364-303133373764/50993591.jpg,https://static.tildacdn.com/stor6433-6335-4633-b039-646239623666/43386296.jpg,https://static.tildacdn.com/stor6565-6330-4562-a339-376131363833/80293600.jpg,https://static.tildacdn.com/stor3163-3031-4066-a337-653030393234/80553381.jpg%polukombinezony%Размер%XS,S,M,L,XL%XS%Цвет%песок%песок%variable%
520963234271%921169337561%%%%%15 900.00%%%Размер%XS%%1%Цвет%песок%%1%variation%0
746519686911%921169337561%%%%%15 900.00%%%Размер%S%%1%Цвет%песок%%1%variation%0
409096668181%921169337561%%%%%15 900.00%%%Размер%M%%1%Цвет%песок%%1%variation%1
679194151941%921169337561%%%%%15 900.00%%%Размер%L%%1%Цвет%песок%%1%variation%0
378449142531%921169337561%%%%%15 900.00%%%Размер%XL%%1%Цвет%песок%%1%variation%0
611493229251%%Полукомбинезон Snow "Фламинго"%softshell%<strong>Полукомбинезон Snow </strong><br /><strong>Версия 3.0</strong><br /><br /><strong>Ткань: </strong>Softshell 10К/5К<br /><strong>Детали:</strong><br /><ul><li>утепленный подкладом</li><li>утепленные синтепоном ягодицы и колени</li><li>водонепроницаемые молнии на вентиляции</li><li>утяжки ширины талии на липучках</li><li>3 утепленных кармана (на груди и побокам)</li><li>&nbsp;«юбка» на штанинах</li></ul>%%%https://static.tildacdn.com/stor3137-6432-4639-b763-626534313561/56896109.jpg,https://static.tildacdn.com/stor6339-3166-4832-b238-636333303861/40815289.jpg,https://static.tildacdn.com/stor3537-6161-4265-b631-323265346465/57038069.jpg,https://static.tildacdn.com/stor6561-3134-4066-b336-653066613333/48998925.jpg,https://static.tildacdn.com/stor6161-3263-4464-a563-613061393136/65078803.jpg,https://static.tildacdn.com/stor3934-3831-4935-b433-616438636266/96446170.jpg,https://static.tildacdn.com/stor6637-6162-4331-a330-653535663661/25111411.jpg,https://static.tildacdn.com/stor6339-6364-4038-a231-303636346466/88611166.jpg,https://static.tildacdn.com/stor6431-3837-4036-b035-323932386665/27547561.jpg,https://static.tildacdn.com/stor6133-3935-4666-a265-643335313431/11556567.jpg%polukombinezony%Размер%XS,S,M,L,XL%XS%Цвет%фламинго%фламинго%variable%
593745359251%611493229251%%%%%15 900.00%%%Размер%XS%%1%Цвет%фламинго%%1%variation%0
165395253841%611493229251%%%%%15 900.00%%%Размер%S%%1%Цвет%фламинго%%1%variation%0
150569370891%611493229251%%%%%15 900.00%%%Размер%M%%1%Цвет%фламинго%%1%variation%0
498790450121%611493229251%%%%%15 900.00%%%Размер%L%%1%Цвет%фламинго%%1%variation%0
212498483341%611493229251%%%%%15 900.00%%%Размер%XL%%1%Цвет%фламинго%%1%variation%0
636669065761%%Полукомбинезон Snow "Персик"%softshell%<strong>Полукомбинезон Snow </strong><br /><strong>Версия 3.0</strong><br /><br /><strong>Ткань: </strong>Softshell 10К/5К<br /><strong>Детали:</strong><br /><ul><li>утепленный подкладом</li><li>утепленные синтепоном ягодицы и колени</li><li>водонепроницаемые молнии на вентиляции</li><li>утяжки ширины талии на липучках</li><li>3 утепленных кармана (на груди и побокам)</li><li>&nbsp;«юбка» на штанинах</li></ul>%%%https://static.tildacdn.com/stor6465-3237-4535-b336-356162336633/55489561.jpg,https://static.tildacdn.com/stor3937-3538-4263-b062-363530633931/48877229.jpg,https://static.tildacdn.com/stor6464-6663-4130-a432-313165396233/91762390.jpg,https://static.tildacdn.com/stor3837-3466-4639-a562-623535643438/71457977.jpg,https://static.tildacdn.com/stor6137-3161-4239-a638-643132316337/55944647.jpg,https://static.tildacdn.com/stor6138-3236-4532-a334-303331643839/92843005.jpg,https://static.tildacdn.com/stor6465-6634-4536-b366-346533323264/31250226.jpg%polukombinezony%Размер%XS,S,M,L,XL%XS%Цвет%персик%персик%variable%
657460366521%636669065761%%%%%15 900.00%%%Размер%XS%%1%Цвет%персик%%1%variation%0
380707991271%636669065761%%%%%15 900.00%%%Размер%S%%1%Цвет%персик%%1%variation%0
808945682101%636669065761%%%%%15 900.00%%%Размер%M%%1%Цвет%персик%%1%variation%0
283456499371%636669065761%%%%%15 900.00%%%Размер%L%%1%Цвет%персик%%1%variation%0
307393297301%636669065761%%%%%15 900.00%%%Размер%XL%%1%Цвет%персик%%1%variation%0
168556925311%%Полукомбинезон Snow "Неон желтый"%softshell%<strong>Полукомбинезон Snow </strong><br /><strong>Версия 3.0</strong><br /><br /><strong>Ткань: </strong>Softshell 10К/5К<br /><strong>Детали:</strong><br /><ul><li>утепленный подкладом</li><li>утепленные синтепоном ягодицы и колени</li><li>водонепроницаемые молнии на вентиляции</li><li>утяжки ширины талии на липучках</li><li>3 утепленных кармана (на груди и побокам)</li><li>&nbsp;«юбка» на штанинах</li></ul>%%%https://static.tildacdn.com/stor6362-6166-4763-a239-393035666531/16698792.jpg,https://static.tildacdn.com/stor3963-6234-4535-a665-633864303737/97413038.jpg,https://static.tildacdn.com/stor3235-3636-4337-a237-613864656536/27797670.jpg,https://static.tildacdn.com/stor6130-3034-4735-b633-306663313238/95505736.jpg%polukombinezony%Размер%XS,S,M,L,XL%XS%Цвет%желтый%желтый%variable%
880852002781%168556925311%%%%%15 900.00%%%Размер%XS%%1%Цвет%желтый%%1%variation%0
444537967871%168556925311%%%%%15 900.00%%%Размер%S%%1%Цвет%желтый%%1%variation%0
320517136251%168556925311%%%%%15 900.00%%%Размер%M%%1%Цвет%желтый%%1%variation%0
434544742901%168556925311%%%%%15 900.00%%%Размер%L%%1%Цвет%желтый%%1%variation%0
175994733891%168556925311%%%%%15 900.00%%%Размер%XL%%1%Цвет%желтый%%1%variation%0
875561089841%%IT-телогрейка%микроволокно%IT-теплогрейка с <strong>3 уровнями нагревания</strong>:<br /><br /><ul><li>синий - до 30 градусов</li><li>зеленый - до 40 градусов</li><li>красный - до 50 градусов</li></ul><br />Надевать 2 слоем под анорак, худи, костюм и т.д.<br /><br /><br /><br />%%%https://static.tildacdn.com/tild3535-6162-4262-a234-626466343463/DSCF5366.png,https://static.tildacdn.com/tild3062-3133-4465-b336-613133343563/DSCF5361.png,https://static.tildacdn.com/tild6533-3466-4134-b866-346630323130/DSCF5364.png,https://static.tildacdn.com/tild6539-3565-4466-a564-373837663732/DSC03259.jpg,https://static.tildacdn.com/tild3937-3564-4233-a633-353732393439/DSC03261.jpg,https://static.tildacdn.com/tild3239-3438-4436-b165-383461656664/DSC03267.jpg%teplogrejki%Размер%one size%one size%Цвет%черный%черный%variable%
399023663081%875561089841%%%%%4 900.00%%%Размер%one size%%1%Цвет%черный%%1%variation%8
